M_ID,AMPHOE_T,AMPHOE_E,CH_ID,,,,
9101,อ. เมืองสตูล,Mueang Satun,91,,,,
2101,อ. เมืองระยอง,Mueang Rayong,21,,,,
8601,อ. เมืองชุมพร,Mueang Chumphon,86,,,,
8607,อ. สวี,Sawi,86,,,,
4401,อ. เมืองมหาสารคาม,Mueang Maha Sarakham,44,,,,
8404,อ. เกาะสมุย,Ko Samui,84,,,,
2009,อ. สัตหีบ,Sattahip,20,,,,
9210,อ. หาดสำราญ,Hat Samran,92,,,,
8603,อ. ปะทิว,Pathio,86,,,,
8608,อ. ทุ่งตะโก,Thung Tako,86,,,,
2206,อ. แหลมสิงห์,Laem Sing,22,,,,
8206,อ. คุระบุรี,Khura Buri,82,,,,
2306,อ. เกาะกูด,Ko Kut,23,,,,
8505,อ. สุขสำราญ,Suk Samran,85,,,,
9202,อ. กันตัง,Kantang,92,,,,
8403,อ. ดอนสัก,Don Sak,84,,,,
8301,อ. เมืองภูเก็ต,Mueang Phuket,83,,,,
9205,อ. สิเกา,Sikao,92,,,,
2007,อ. ศรีราชา,Si Racha,20,,,,
8101,อ. เมืองกระบี่,Mueang Krabi,81,,,,
8105,อ. อ่าวลึก,Ao Luek,81,,,,
8501,อ. เมืองระนอง,Mueang Ranong,85,,,,
8303,อ. ถลาง,Thalang,83,,,,
2004,อ. บางละมุง,Bang Lamung,20,,,,
2103,อ. แกลง,Klaeng,21,,,,
8503,อ. กะเปอร์,Papoe,85,,,,
8103,อ. เกาะลันตา,Ko Lanta,81,,,,
8405,อ. เกาะพะงัน,Ko Pha-ngan,84,,,,
2202,อ. ขลุง,Khlung,22,,,,
1001,เขต พระนคร,Phra Nakhon,10,,,,
8202,อ. เกาะยาว,Ko Yao,82,,,,
9204,อ. ปะเหลียน,Palian,92,,,,
8108,อ. เหนือคลอง,Nuea Khlong,81,,,,
2203,อ. ท่าใหม่,Tha Mai,22,,,,
2307,อ. เกาะช้าง,Ko Chang,23,,,,
1002,เขต ดุสิต,Dusit,10,,,,
1008,เขต ป้อมปราบศัตรูพ่าย,Pom Prap Sattruphai,10,,,,
1013,เขต สัมพันธวงศ์,Samphanthawong,10,,,,
2001,อ. เมืองชลบุรี,Mueang Chon Buri,20,,,,
1004,เขต บางรัก,Bang Rak,10,,,,
8604,อ. หลังสวน,Lang Suan,86,,,,
8015,อ. ขนอม,Khanom,80,,,,
7401,อ. เมืองสมุทรสาคร,Mueang Samut Sakhon,74,,,,
1015,เขต ธนบุรี,Thon Buri,10,,,,
1018,เขต คลองสาน,Khlong San,10,,,,
1022,เขต ภาษีเจริญ,Phasi Charoen,10,,,,
1412,อ. เสนา,Sena,14,,,,
1016,เขต บางกอกใหญ่,Bangkok Yai,10,,,,
1601,อ. เมืองลพบุรี,Mueang Lop Buri,16,,,,
1104,อ. พระประแดง,Phra Pradaeng,11,,,,
1501,อ. เมืองอ่างทอง,Mueang Ang Thong,15,,,,
1037,เขต ราชเทวี,Rat Thewi,10,,,,
1019,เขต ตลิ่งชัน,Taling Chan,10,,,,
1401,อ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,,,,
1007,เขต ปทุมวัน,Pathum Wan,10,,,,
9401,อ. เมืองปัตตานี,Mueang Pattani,94,,,,
5001,อ. เมืองเชียงใหม่,Mueang Chiang Mai,50,,,,
1803,อ. วัดสิงห์,Wat Sing,18,,,,
